Status,Site,Hostname,Type,Last User,OS,Serial Number,Description,Last Seen,MAC Address(es),Device CPU
Online,GMC,GMCDT1124,Desktop,GMC\kmoses,Microsoft Windows 10 Pro 10.0.19045,MXL3331DPL,GMCDT1124,2025-03-26T23:55:59Z,74:46:A0:A6:3A:8D,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,GMC,GMCDT1125,Desktop,GMC\yrocha,Microsoft Windows 10 Pro 10.0.19045,2UA13814XC,GMCDT1125,2025-03-26T23:55:59Z,"2C:41:38:8C:CB:F0, 00:09:0F:FE:00:01, 00:09:0F:AA:00:01",Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz
Offline,GMC,GMCDT1126,Desktop,GMC\LAbe,Microsoft Windows 10 Pro 10.0.19045,HZ7TSM2,GMCDT1126,2025-03-26T23:54:39Z,D8:9E:F3:33:FE:4C,Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz
Offline,GMC,GMCDT1130,Desktop,GMC\lhighman,Microsoft Windows 10 Pro 10.0.19045,HLJNK93,GMCDT1130,2025-03-26T23:34:19Z,"A4:BB:6D:D9:F8:C1, E8:F4:08:B6:03:73, E8:F4:08:B6:03:77",Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz
Online,GMC,GMCDT1131,Desktop,GMC\ltrimble,Microsoft Windows 10 Pro 10.0.19045,F2G56K2,GMCDT1131,2025-03-26T23:55:59Z,50:9A:4C:51:73:9D,Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz
Online,GMC,GMCDT1132,Desktop,GMC\igarcia,Microsoft Windows 10 Pro 10.0.19045,2UA3140J45,GMCDT1132,2025-03-26T23:55:59Z,6C:3B:E5:2A:8F:43,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,GMC,GMCDT1143,Desktop,GMC\aferris,Microsoft Windows 10 Pro 10.0.19045,1YG9BM2,GMCDT1143,2025-03-26T23:55:59Z,"D8:9E:F3:1F:50:B1, 00:2E:2D:00:33:4A",Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz
Online,GMC,GMCDT1144,Desktop,GMC\sgaylord,Microsoft Windows 10 Pro 10.0.19045,HJK7ND2,DESKTOP-7BIRKUK,2025-03-26T23:55:59Z,"48:4D:7E:CE:0F:04, 38:A3:8C:83:5A:72, 38:A3:8C:83:5A:73",Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz
Online,GMC,GMCDT1146,Desktop,GMC\Jspooner,Microsoft Windows 10 Pro 10.0.19045,1WX9BM2,GMCDT1146,2025-03-26T23:55:59Z,D8:9E:F3:27:B8:D5,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz
Online,GMC,GMCDT1147,Desktop,GMC\bstrand,Microsoft Windows 10 Pro 10.0.19045,75Q5ZG2,GMCDT1147,2025-03-26T23:55:59Z,"48:4D:7E:E6:98:0D, F4:8C:50:18:4F:84, F4:8C:50:18:4F:88",Intel(R) Core(TM) i5-6500T CPU @ 2.50GHz
Online,GMC,GMCDT1152,Desktop,GMC\agutierrez,Microsoft Windows 10 Pro 10.0.19045,MXL3331DQ5,GMCDT1152 LRG CONF ROOM,2025-03-26T23:55:59Z,"74:46:A0:AC:50:C8, 38:A3:8C:20:00:9E, 38:A3:8C:20:00:9F",Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Online,GMC,GMCDT1200,Desktop,GMC\christiano,Microsoft Windows 10 Pro 10.0.19045,17WRH02,GMCDT1200,2025-03-26T23:55:59Z,F8:B1:56:C2:4B:6C,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz
Online,GMC,GMCDT1201,Desktop,GMC\ebethard,Microsoft Windows 10 Pro 10.0.19045,1N7RH02,GMCDT1201,2025-03-26T23:55:59Z,F8:B1:56:C5:57:F0,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz
Online,GMC,GMCDT1202,Desktop,GMC\GHayes,Microsoft Windows 10 Pro 10.0.19045,C7DYBZ1,GMCDT1202,2025-03-26T23:55:59Z,B8:CA:3A:B4:F5:CB,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz
Online,GMC,GMCDT1203,Desktop,GMC\jmartin,Microsoft Windows 10 Pro 10.0.19045,1234567,GMCDT1203,2025-03-26T23:55:59Z,34:E6:D7:FE:C6:CC,Intel(R) Core(TM) i3-3220 CPU @ 3.30GHz
Online,GMC,GMCDT1204,Desktop,GMC\bford,Microsoft Windows 11 Pro 10.0.26100,CWTRMR2,GMCDT1204,2025-03-26T23:55:59Z,"54:BF:64:84:6E:8E, 94:E6:F7:4F:61:C2, 94:E6:F7:4F:61:C6, 96:E6:F7:4F:61:C2",Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz
Online,GMC,GMCDT1205,Desktop,GMC\klutz1,Microsoft Windows 10 Pro 10.0.19045,6JL6CX1,GMCDT1205,2025-03-26T23:55:59Z,"90:B1:1C:9F:F7:78, B8:76:3F:91:DD:B2, B8:76:3F:91:DD:B2",Intel(R) Core(TM) i5-3570S CPU @ 3.10GHz
Online,GMC,GMCDT1213,Desktop,GMC\rimhoff,Microsoft Windows 11 Pro 10.0.26100,CMM8MR2,GMCDT1213 - ER REG,2025-03-26T23:55:59Z,"54:BF:64:82:73:F4, 74:D8:3E:D7:05:B4, 74:D8:3E:D7:05:B8, 76:D8:3E:D7:05:B4",Intel(R) Core(TM) i7-8700 CPU @ 3.20GHz
Online,GMC,GMCDT1214,Desktop,GMC\christiano,Microsoft Windows 11 Pro 10.0.26100,5B4VM83,GMCDT1214,2025-03-26T23:55:59Z,"A4:BB:6D:DC:EC:72, 98:48:27:E3:C0:7C, 98:48:27:E3:C0:7C",Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz
Online,GMC,GMCDT1215,Desktop,GMC\gcandelaria1,Microsoft Windows 11 Pro 10.0.26100,3RSWW04,GMCDT1215,2025-03-26T23:55:59Z,"20:88:10:EB:D5:61, C8:15:4E:45:43:7C, C8:15:4E:45:43:80",13th Gen Intel(R) Core(TM) i5-13500T
Online,GMC,GMCDT1217,Desktop,GMC\cvazquez,Microsoft Windows 11 Pro 10.0.26100,DTKHC14,GMCDT1217,2025-03-26T23:55:59Z,"20:88:10:87:68:5E, 58:6D:67:15:20:16, 58:6D:67:15:20:1A, 5A:6D:67:15:20:16",13th Gen Intel(R) Core(TM) i5-13500T
Offline,GMC,GMCDT1220,Desktop,GMC\epieper,Microsoft Windows 11 Pro 10.0.26100,30LHC14,GMCDT1220,2025-03-26T23:00:38Z,"20:88:10:86:9D:9C, 58:6D:67:15:20:39, 58:6D:67:15:20:3D, 5A:6D:67:15:20:39",13th Gen Intel(R) Core(TM) i5-13500T
Offline,GMC,GMCDT1221,Desktop,GMC\apetelin,Microsoft Windows 11 Pro 10.0.26100,GRGHC14,GMCDT1221,2025-03-26T22:55:36Z,"20:88:10:87:66:E7, 58:6D:67:15:1F:EE, 58:6D:67:15:1F:F2",13th Gen Intel(R) Core(TM) i5-13500T
Online,GMC,GMCDT1223,Desktop,GMC\DSOLANO,Microsoft Windows 10 Pro 10.0.19045,4Y5XWK2,GMCDT1223,2025-03-26T23:55:59Z,D8:9E:F3:02:A6:E9,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz
Online,GMC,GMCDT1225,Desktop,GMC\mgottman,Microsoft Windows 10 Pro 10.0.19045,C3LRGK2,GMCDT1225,2025-03-26T23:55:59Z,"14:B3:1F:12:B3:38, 34:F6:4B:48:C2:0E, 34:F6:4B:48:C2:12, E0:D7:68:30:A2:BC",Intel(R) Core(TM) i5-7600T CPU @ 2.80GHz
Offline,GMC,GMCDT1226,Desktop,GMC\mwestfall,Microsoft Windows 10 Pro 10.0.19045,C44QGK2,GMCDT1226,2025-03-08T14:11:16Z,"14:B3:1F:13:7B:86, 34:F6:4B:4A:F8:E9, 34:F6:4B:4A:F8:ED, E0:AD:47:20:E1:82, E0:AD:47:20:E1:83",Intel(R) Core(TM) i5-7600T CPU @ 2.80GHz
Online,GMC,GMCDT1227,Desktop,GMC\vkeolanui,Microsoft Windows 10 Pro 10.0.19045,FPPNGK2,GMCDT1227,2025-03-26T23:55:59Z,"14:B3:1F:11:C6:7C, 34:F6:4B:4D:4A:68, 34:F6:4B:4D:4A:6C",Intel(R) Core(TM) i5-7600T CPU @ 2.80GHz
Online,GMC,GMCDT1228,Desktop,GMC\jratner,Microsoft Windows 10 Pro 10.0.19045,C3YRGK2,GMCDT1228,2025-03-26T23:55:59Z,"14:B3:1F:13:78:66, 34:F6:4B:4C:B4:36, 34:F6:4B:4C:B4:3A, E0:AD:47:10:EA:9C, E0:AD:47:10:EA:9D",Intel(R) Core(TM) i5-7600T CPU @ 2.80GHz
Online,GMC,GMCDT1229,Desktop,GMC\jsohal,Microsoft Windows 10 Pro 10.0.19045,4N10XK2,GMCDT1229,2025-03-26T23:55:59Z,"D8:9E:F3:02:D8:0E, 00:2E:2D:10:19:FC",Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz
Online,GMC,GMCDT1231,Desktop,GMC\Kher,Microsoft Windows 10 Pro 10.0.19045,DRHZHQ2,GMCDT1231,2025-03-26T23:55:59Z,54:BF:64:7D:13:AD,Intel(R) Core(TM) i7-6700 CPU @ 3.40GHz
Online,GMC,GMCDT1247,Desktop,GMC\ssorgea,Microsoft Windows 11 Pro 10.0.26100,98DX574,GMCDT1247,2025-03-26T23:55:59Z,"D0:46:0C:A9:FC:18, 00:72:EE:ED:84:60, 00:72:EE:ED:84:64",12th Gen Intel(R) Core(TM) i5-12500T
Online,GMC,GMCDT1980,Desktop,GMC\jcrew,Microsoft Windows 11 Pro 10.0.26100,67MR574,GMCDT1226,2025-03-26T23:55:59Z,"D0:46:0C:AD:1B:63, 00:72:EE:E7:B3:2D, 00:72:EE:E7:B3:31",12th Gen Intel(R) Core(TM) i5-12500T
Online,GMC,GMCDTER1195,Desktop,GMC\rthiyagarajah,Microsoft Windows 10 Pro 10.0.19045,BLPMV42,GMCDTER1195,2025-03-26T23:55:59Z,"98:90:96:D4:44:CE, 8C:88:2B:65:ED:78",Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz
Offline,GMC,GMCLT1001,Laptop,GMC\igarcia,Microsoft Windows 10 Pro 10.0.19045,1YNP103,GMCLT1001,2025-03-25T16:20:51Z,"F8:AC:65:F7:B7:41, 70:B5:E8:C5:A6:69, F8:AC:65:F7:B7:45",Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz
Offline,GMC,GMCLT1002,Laptop,GMC\cvazquez,Microsoft Windows 11 Pro 10.0.22631,1WHYPH3,GMCLT1002,2025-03-25T21:39:22Z,"94:E2:3C:4E:2B:6D, 00:9A:9D:9E:90:83, 94:E2:3C:4E:2B:71",Intel(R) Celeron(R) N4020 CPU @ 1.10GHz
Online,GMC,GMCLT1003,Laptop,GMC\tbaczkowski,Microsoft Windows 10 Pro 10.0.19045,8HVN003,GMCLT1003,2025-03-26T23:55:59Z,"70:B5:E8:BB:42:52, 34:7D:F6:67:B5:BE, 34:7D:F6:67:B5:BA",Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz
Offline,GMC,GMCLT1013,Laptop,GMC\lnavarro,Microsoft Windows 11 Pro 10.0.22631,HVP49T3,GMCLT1013,2025-03-25T21:57:37Z,"F0:A6:54:3E:2D:85, F0:A6:54:3E:2D:86",Intel(R) Celeron(R) N4020 CPU @ 1.10GHz
Offline,GMC,GMCLT1024,Laptop,GMC\BThrom,Microsoft Windows 10 Pro 10.0.19044,D5PP103,GMCLT1024,2025-03-25T21:07:54Z,"34:7D:F6:10:A9:7D, 53:4E:57:00:00:00, 70:B5:E8:C5:9E:C1, 34:7D:F6:10:A9:81",Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz
Offline,GMC,GMCLT1025,Laptop,GMC\BFord,Microsoft Windows 11 Pro 10.0.26100,HSVP103,GMCLT1025,2025-03-26T15:27:52Z,"F8:AC:65:F1:7F:52, F8:AC:65:F1:7F:56, 70:B5:E8:C5:A6:CF, 00:09:0F:FE:00:01, 00:09:0F:AA:00:01",Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz
Online,GMC,GMCLT1063,Laptop,GMC\Ltrimble,Microsoft Windows 11 Pro 10.0.26100,BWJG6C3,GMCLT1063,2025-03-26T23:55:59Z,"38:FC:98:76:87:84, 60:18:95:0A:A5:BC, 38:FC:98:76:87:88, 53:4E:57:00:00:00",Intel(R) Pentium(R) Silver N5030 CPU @ 1.10GHz
Offline,GMC,GMCLT1090,Laptop,GMCLT1090\support,Microsoft Windows 10 Pro 10.0.19045,5HC2HG3,GMCLT1090,2025-02-19T20:09:16Z,"F4:46:37:29:E9:F1, F4:EE:08:D2:4A:5D, F4:46:37:29:E9:F5",11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
Offline,GMC,GMCLT1099,Laptop,GMC\slajon,Microsoft Windows 10 Pro 10.0.19045,CNU34291LK,GMCLT1099,2025-03-26T22:01:37Z,"B4:B6:76:E0:1B:86, D8:9D:67:33:EB:E4",Intel(R) Core(TM) i5-3437U CPU @ 1.90GHz
Offline,GMC,GMCLT1200,Laptop,GMC\bmundy,Microsoft Windows 10 Pro 10.0.19045,G9DCNV2,GMCLT1200,2025-03-12T00:20:57Z,"A4:C3:F0:7D:77:9C, A4:C3:F0:7D:77:A0, C8:F7:50:34:13:5C",Intel(R) Core(TM) i7-6600U CPU @ 2.60GHz
Offline,GMC,GMCLT1235,Laptop,GMC\rthiyagarajah,Microsoft Windows 10 Pro N 10.0.19045,2QQC533,GMCLT1235,2025-03-24T18:16:05Z,"C0:3E:BA:4E:6B:03, 08:D2:3E:1D:ED:CC, 08:D2:3E:1D:ED:D0",Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz
Offline,GMC,GMCLT1236,Laptop,GMC\klemburg,Microsoft Windows 10 Pro N 10.0.19045,GN5TZY2,GMCLT1236,2025-03-18T23:13:57Z,"98:E7:43:79:3C:00, 50:EB:71:E8:54:C7, 50:EB:71:E8:54:CB",Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz
Offline,GMC,GMCLT1237,Laptop,GMC\kstarnes,Microsoft Windows 10 Pro N 10.0.19045,CW9Y733,GMCLT1237,2025-03-18T23:18:20Z,"14:F6:D8:05:AF:BE, 34:48:ED:69:74:FE, 14:F6:D8:05:AF:C2",Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz
Offline,GMC,GMCLT1238,Laptop,GMC\jprice,Microsoft Windows 10 Pro N 10.0.19045,4KMC533,GMCLT1238,2025-03-18T23:25:52Z,"C0:3E:BA:4E:84:A9, 14:F6:D8:FE:32:7E, 14:F6:D8:FE:32:82",Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz
Offline,GMC,GMCLT1239,Laptop,GMC\sflores,Microsoft Windows 10 Pro N 10.0.19045,C432533,GMCLT1239,2025-03-18T22:57:50Z,"C0:3E:BA:4C:08:02, 08:D2:3E:1B:B9:DA, 08:D2:3E:1B:B9:DE",Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz
Online,GMC,GMCRX-LAP,Laptop,GMC\epieper,Microsoft Windows 10 Pro 10.0.19045,LR0DKAQ8,GMCRX-LAP,2025-03-26T23:55:59Z,"DC:1B:A1:03:FF:20, B4:A9:FC:B9:32:AE, DC:1B:A1:03:FF:24",Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz
Offline,GMC,GMCRX2-400,Desktop,GMC\Ssmith,Microsoft Windows 10 Pro 10.0.19045,74M5ZG2,GMCRX2-400,2025-03-26T23:44:39Z,"F4:8C:50:18:4F:A1, 48:4D:7E:E6:2C:30",Intel(R) Core(TM) i5-6500T CPU @ 2.50GHz
Online,GMC,HIM2-500,Desktop,GMC\NEhorn,Microsoft Windows 10 Pro 10.0.19045,2UA5501GZT,HIM2-500,2025-03-26T23:55:59Z,50:65:F3:3C:31:21,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz
Online,GMC,HIM3-700,Desktop,GMC\kramsey,Microsoft Windows 10 Pro 10.0.19045,474G082,HIM3-700,2025-03-26T23:55:59Z,"64:00:6A:22:DB:5E, A4:C4:94:E7:0C:AC",Intel(R) Core(TM) i5-4590T CPU @ 2.00GHz
Online,GMC,Lab2-300,Desktop,GMC\GMCLAB,Microsoft Windows 10 Pro 10.0.19045,2UA1230K73,LAB2-300,2025-03-26T23:55:59Z,2C:27:D7:21:B2:0E,Intel(R) Core(TM) i5-2500 CPU @ 3.30GHz
Online,GMC,LAB3-300,Desktop,GMC\jbenitez,Microsoft Windows 10 Pro 10.0.19045,D24X382,LAB3-300,2025-03-26T23:55:59Z,"64:00:6A:46:5E:84, 58:91:CF:92:C7:05, 58:91:CF:92:C7:09",Intel(R) Core(TM) i5-4590T CPU @ 2.00GHz
Online,GMC,LAB4-300,Desktop,GMC\jclick,Microsoft Windows 10 Pro 10.0.19045,HRCSS52,LAB4-300,2025-03-26T23:55:59Z,64:00:6A:50:6B:67,Intel(R) Core(TM) i7-4790 CPU @ 3.60GHz
Online,GMC,MEDSTAFF1-500,Desktop,GMC\jcrew,Microsoft Windows 10 Pro 10.0.19045,2UA5501G8P,MEDSTAFF1-500,2025-03-26T23:55:59Z,50:65:F3:44:93:B5,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz
Online,GMC,NRTELERAD01,Desktop,NRTELERAD01\nradmin,Microsoft Windows 10 Enterprise LTSC 10.0.17763,D8J38B3,NRTELERAD01,2025-03-26T23:55:59Z,B0:7B:25:03:95:07,Intel(R) Core(TM) i3-10100 CPU @ 3.60GHz
Offline,GMC,PURCH1-800,Desktop,GMC\freynoso,Microsoft Windows 10 Pro 10.0.19045,DHC6D42,PURCH1-800,2025-03-18T00:42:18Z,"98:90:96:CB:1E:01, 20:0D:B0:31:41:48",Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz
Online,GMC,PYXIS-TEST,Desktop,GMC\ssandhu,Microsoft Windows 10 Pro N 10.0.19045,VMware-42 1d 65 55 4f aa b4 2a-04 92 ac 01 1f 8a 77 05,PYXIS-TEST,2025-03-26T23:55:59Z,00:50:56:9D:D2:F6,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz
Online,GMC,QC3-800,Desktop,GMC\randerson,Microsoft Windows 10 Pro 10.0.19045,D8HF9Y1,DESKTOP-K3S51KC,2025-03-26T23:55:59Z,B8:CA:3A:AC:BB:1C,Intel(R) Core(TM) i5-3570 CPU @ 3.40GHz
Offline,GMC,RAD3-300,Desktop,GMC\atorres,Microsoft Windows 10 Pro 10.0.19045,8BX0XQ1,RAD3-300,2025-03-17T22:28:31Z,"78:2B:CB:B4:DD:EC, 00:20:18:A0:E6:CA",Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz
Offline,GMC,RAD5-200,Desktop,GMC\kstallone,Microsoft Windows 10 Pro 10.0.19045,6GPYGB2,RAD5-200,2025-03-26T20:56:42Z,"18:66:DA:09:71:CC, E4:B3:18:1A:CE:AD, E4:B3:18:1A:CE:B1",Intel(R) Core(TM) i5-6500T CPU @ 2.50GHz
Online,GMC,SHORETEL,Server,SHORETEL\Administrator,Microsoft Windows Server 2012 R2 Standard 6.3.9600,VMware-56 4d 5f ea 7e cb 27 2d-29 49 9c 5f f1 5a 49 28,SHORETEL,2025-03-26T23:55:59Z,00:0C:29:5A:49:28,Intel(R) Xeon(R) CPU E5-2699 v3 @ 2.30GHz
Offline,GMC,Sleep3-200,Desktop,,Microsoft Windows 10 Pro 10.0.19045,DHC4D42,Sleep3-200,2025-01-28T01:40:55Z,"98:90:96:CB:52:7A, 00:2E:2D:5A:32:9C",Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz
Online,GMC,TIMECLOCK-HIM,Desktop,TIMECLOCK-HIM\cpadmin,Microsoft Windows 11 Pro 10.0.26100,5M80311,TIMECLOCK-HIM,2025-03-26T23:55:59Z,"00:07:32:A4:A8:02, 70:D8:C2:35:3C:01, 70:D8:C2:35:3B:FD, 00:2E:2D:00:15:FE",Intel(R) Core(TM) i3-8100T CPU @ 3.10GHz
Online,GMC,TIMECLOCKMEDSURG,Desktop,TIMECLOCKMEDSUR\cpadmin,Microsoft Windows 10 Enterprise 10.0.19045,5C00921,TIMECLOCKMEDSUR,2025-03-26T23:55:59Z,"00:07:32:70:F3:00, E0:9D:31:8D:38:B4",Intel(R) Core(TM) i3-4330TE CPU @ 2.40GHz
