Status,Site,Hostname,Type,Last User,OS,Serial Number,Description,Last Seen,MAC Address(es),Device CPU
Online,KentField Marine,KFHDT246,Desktop,KFH\sbasnet,Microsoft Windows 11 Pro 10.0.26100,D3XNTD3,KFHDT246,2025-03-26T23:57:26Z,B0:4F:13:00:BA:DD,Intel(R) Core(TM) i5-10505 CPU @ 3.20GHz
Online,KentField Marine,KFHDT248,Desktop,KFH\sbasnet,Microsoft Windows 11 Pro 10.0.26100,4JFXTD3,KFHDT248,2025-03-26T23:57:26Z,B0:4F:13:00:71:42,Intel(R) Core(TM) i5-10505 CPU @ 3.20GHz
Online,KentField Marine,KFHDT250,Desktop,KFH\amira,Microsoft Windows 10 Pro 10.0.19045,235QHK2,KFHDT250,2025-03-26T23:57:26Z,"50:9A:4C:59:29:F6, 58:6D:8F:D3:5C:79",Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz
Online,KentField Marine,KFHDT251,Desktop,KFH\kdumalag,Microsoft Windows 10 Pro 10.0.19045,DSBG0Q2,KFHDT251,2025-03-26T23:57:26Z,54:BF:64:5E:AD:21,Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz
Online,KentField Marine,KFHDT252,Desktop,KFH\sbasnet,Microsoft Windows 10 Pro 10.0.19045,2Z3ZCP2,KFHDT252,2025-03-26T23:57:26Z,D8:9E:F3:49:ED:AD,Intel(R) Core(TM) i7-7700 CPU @ 3.60GHz
Online,KentField Marine,KFHDT305,Desktop,KFH\kstewart,Microsoft Windows 10 Pro 10.0.19045,31MTN23,KFHDT305,2025-03-26T23:57:26Z,E4:54:E8:D0:D1:66,Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz
Online,KentField Marine,KFHDT306,Desktop,KFH\mbuhler,Microsoft Windows 10 Pro 10.0.19045,31LTN23,KFHDT306,2025-03-26T23:57:26Z,E4:54:E8:CF:AC:AE,Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz
Online,KentField Marine,KFHDT307,Desktop,KFH\jirizari,Microsoft Windows 10 Pro 10.0.19045,31LXN23,KFHDT307,2025-03-26T23:57:26Z,E4:54:E8:CF:AA:43,Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz
Online,KentField Marine,KFHDT308,Desktop,KFH\rmorris,Microsoft Windows 11 Pro 10.0.26100,31LVN23,KFHDT308,2025-03-26T23:57:26Z,E4:54:E8:D0:D1:9E,Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz
Online,KentField Marine,KFHDT309,Desktop,KFH\ranunciacion,Microsoft Windows 10 Pro 10.0.18363,DYDB613,KRHC0B415,2025-03-26T23:57:26Z,E4:54:E8:C0:B4:15,Intel(R) Core(TM) i7-9700 CPU @ 3.00GHz
Offline,KentField Marine,KFHDT317,Desktop,KFH\sbasnet,Microsoft Windows 11 Pro 10.0.22631,6JSWN23,KFHDT317,2025-03-18T23:11:01Z,A4:BB:6D:29:EF:1C,Intel(R) Pentium(R) Silver J5005 CPU @ 1.50GHz
Offline,KentField Marine,KFHDT323,Desktop,KFH\amahajan,Microsoft Windows 11 Pro 10.0.22631,6K51P23,KFHDT323,2025-03-18T23:16:38Z,A4:BB:6D:29:EE:F2,Intel(R) Pentium(R) Silver J5005 CPU @ 1.50GHz
Online,KentField Marine,KFHDT324,Desktop,KFH\twilson,Microsoft Windows 11 Pro 10.0.26100,1TGTK44,KFHDT324,2025-03-26T23:57:26Z,"20:88:10:B2:9B:57, 5C:B2:6D:16:4E:FA, 5C:B2:6D:16:4E:FE",Intel(R) Core(TM) i5-14500T
Online,KentField Marine,KFHDT325,Desktop,KFH\rbraun,Microsoft Windows 11 Pro 10.0.26100,JMGTK44,KFHDT325,2025-03-26T23:57:26Z,"20:88:10:B2:9E:62, 5C:B2:6D:16:67:00, 5C:B2:6D:16:67:04",Intel(R) Core(TM) i5-14500T
Online,KentField Marine,KFHDT326,Desktop,KFH\schoetso,Microsoft Windows 11 Pro 10.0.26100,1LCTK44,KFHDT326,2025-03-26T23:57:26Z,"5C:B2:6D:25:2C:45, 20:88:10:B2:9A:71, 5C:B2:6D:25:2C:49",Intel(R) Core(TM) i5-14500T
Online,KentField Marine,KFHDT327,Desktop,KFH\tnyidon,Microsoft Windows 11 Pro 10.0.26100,33PTK44,KFHDT327,2025-03-26T23:57:26Z,"20:88:10:B2:A8:6C, 5C:B2:6D:18:8B:52, 5C:B2:6D:18:8B:56",Intel(R) Core(TM) i5-14500T
Online,KentField Marine,KFHDT328,Desktop,KFH\lbhutia,Microsoft Windows 11 Pro 10.0.26100,9MGTK44,KFHDT328,2025-03-26T23:57:26Z,"20:88:10:B2:9E:1B, 5C:B2:6D:25:3A:19, 5C:B2:6D:25:3A:1D",Intel(R) Core(TM) i5-14500T
