Status,Site,Hostname,Type,Last User,OS,Serial Number,Description,Last Seen,MAC Address(es),Device CPU
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0002-4525-8658-4150-7240-37,CPC-Hth-jQbc2Fb,2025-03-04T18:55:18Z,00:22:48:C0:DD:73,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0005-7203-8742-2637-2807-06,CPC-Hth-jQbc2Fb,2025-03-05T00:56:03Z,00:0D:3A:FD:4F:60,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0005-7818-6996-6108-9999-84,CPC-Hth-jQbc2Fb,2025-03-05T07:00:34Z,00:22:48:BA:0A:27,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,,,CPC-Hth-jQbc2Fb,2025-03-05T13:01:25Z,,
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0011-9171-5872-9970-5683-46,CPC-Hth-jQbc2Fb,2025-03-05T19:05:32Z,00:22:48:79:C7:51,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0000-8752-6555-9801-3836-57,CPC-Hth-jQbc2Fb,2025-03-06T01:08:13Z,00:22:48:B6:01:36,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0006-2688-3749-9420-6228-91,CPC-Hth-jQbc2Fb,2025-03-06T07:12:53Z,00:22:48:77:2A:47,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0003-8613-6108-7276-0077-58,CPC-Hth-jQbc2Fb,2025-03-06T13:13:22Z,00:0D:3A:F7:07:D0,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0006-5476-3579-7964-5061-14,CPC-Hth-jQbc2Fb,2025-03-06T19:16:58Z,00:22:48:7B:E1:ED,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0002-2356-5364-1476-9831-81,CPC-Hth-jQbc2Fb,2025-03-07T01:20:01Z,00:0D:3A:C3:43:C0,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,,,CPC-Hth-jQbc2Fb,2025-03-07T07:23:42Z,,
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,,,CPC-Hth-jQbc2Fb,2025-03-07T13:26:35Z,,
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0001-6827-1176-6795-2394-48,CPC-Hth-jQbc2Fb,2025-03-07T19:28:58Z,00:22:48:7B:1A:89,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,,,CPC-Hth-jQbc2Fb,2025-03-08T01:33:57Z,,
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,,,CPC-Hth-jQbc2Fb,2025-03-08T07:36:09Z,,
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0006-1313-1570-9906-4702-71,CPC-Hth-jQbc2Fb,2025-03-08T13:38:30Z,00:0D:3A:07:37:50,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,,,CPC-Hth-jQbc2Fb,2025-03-08T19:41:41Z,,
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,,,CPC-Hth-jQbc2Fb,2025-03-09T01:43:29Z,,
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0004-9072-8600-0922-7411-47,CPC-Hth-jQbc2Fb,2025-03-09T07:48:26Z,00:0D:3A:6F:0B:9E,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0016-9005-1230-3342-1106-47,CPC-Hth-jQbc2Fb,2025-03-09T13:51:31Z,00:0D:3A:06:38:37,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0003-3159-1531-8140-5523-71,CPC-Hth-jQbc2Fb,2025-03-09T19:53:02Z,00:0D:3A:FE:DF:C4,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0018-2776-1050-3629-9174-44,CPC-Hth-jQbc2Fb,2025-03-10T01:55:24Z,00:0D:3A:F5:AF:5F,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0015-2586-7988-7411-3659-50,CPC-Hth-jQbc2Fb,2025-03-10T07:58:37Z,00:22:48:78:6E:B4,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,,,CPC-Hth-jQbc2Fb,2025-03-10T14:02:40Z,,
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0010-4189-4945-0650-8316-42,CPC-Hth-jQbc2Fb,2025-03-10T20:06:35Z,00:22:48:C2:33:4F,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0004-9238-7043-3475-7756-08,CPC-Hth-jQbc2Fb,2025-03-11T02:07:51Z,00:22:48:7E:8B:99,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0000-5845-4821-0112-3493-73,CPC-Hth-jQbc2Fb,2025-03-11T08:12:37Z,00:22:48:BF:D7:64,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0010-6683-1685-0713-0857-07,CPC-Hth-jQbc2Fb,2025-03-11T14:14:06Z,00:22:48:76:E4:37,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0009-2969-8425-9859-2710-37,CPC-Hth-jQbc2Fb,2025-03-11T20:17:00Z,00:0D:3A:FD:36:14,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0016-7300-3763-9744-4093-25,CPC-Hth-jQbc2Fb,2025-03-12T02:20:42Z,00:0D:3A:F9:61:B9,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0006-9470-9706-5448-6880-78,CPC-Hth-jQbc2Fb,2025-03-12T08:24:08Z,00:22:48:7A:DE:8E,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,,,CPC-Hth-jQbc2Fb,2025-03-12T14:26:23Z,,
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0006-7533-5913-5912-9683-48,CPC-Hth-jQbc2Fb,2025-03-12T20:29:09Z,00:22:48:7C:03:D3,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0015-8780-9687-4555-0653-68,CPC-Hth-jQbc2Fb,2025-03-13T02:32:54Z,00:0D:3A:C5:20:23,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0007-5447-7965-8847-3393-22,CPC-Hth-jQbc2Fb,2025-03-13T08:36:08Z,00:22:48:BD:16:94,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0011-9206-4463-1126-8858-92,CPC-Hth-jQbc2Fb,2025-03-13T14:38:11Z,00:22:48:B6:9C:30,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0017-3273-3380-2900-3434-30,CPC-Hth-jQbc2Fb,2025-03-13T20:41:06Z,00:22:48:C1:99:FD,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0000-6073-9539-5311-1260-65,CPC-Hth-jQbc2Fb,2025-03-14T02:49:17Z,00:0D:3A:FF:7A:AA,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0006-2895-5126-5886-8486-29,CPC-Hth-jQbc2Fb,2025-03-14T08:49:28Z,00:22:48:BD:DC:2D,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0017-7491-6634-7967-9411-48,CPC-Hth-jQbc2Fb,2025-03-14T14:55:52Z,00:22:48:7B:5D:E1,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0017-5315-7742-4878-9131-71,CPC-Hth-jQbc2Fb,2025-03-14T20:58:09Z,00:22:48:7D:3D:5F,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0003-6535-5304-5585-5472-30,CPC-Hth-jQbc2Fb,2025-03-15T02:58:01Z,00:22:48:BC:04:64,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0005-0639-1464-0508-9965-68,CPC-Hth-jQbc2Fb,2025-03-15T09:04:59Z,00:22:48:7B:2B:11,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0003-1816-0716-1713-2819-95,CPC-Hth-jQbc2Fb,2025-03-15T15:06:08Z,00:22:48:B5:6F:37,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0013-3129-9933-3082-7129-29,CPC-Hth-jQbc2Fb,2025-03-15T21:12:26Z,00:22:48:7A:FA:90,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0017-8505-2349-3084-1847-27,CPC-Hth-jQbc2Fb,2025-03-16T03:09:52Z,00:22:48:B6:27:36,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,CPC-Hth-jQbc2Fb,Desktop,,Microsoft Windows 11 Enterprise 10.0.26100,0000-0017-1521-5294-6897-1431-22,CPC-Hth-jQbc2Fb,2025-03-16T09:13:35Z,00:0D:3A:F9:8E:E9,"AMD EPYC 7763 64-Core Processor                "
