Status,Site,Hostname,Type,Last User,OS,Serial Number,Description,Last Seen,MAC Address(es),Device CPU
Offline,Dameron Hospital,DHW365-BLR5NI1C,Desktop,,Microsoft Windows 10 Enterprise 10.0.19045,0000-0007-9003-9255-6845-8754-89,DHW365-BLR5NI1C,2025-02-21T18:35:32Z,00:22:48:77:E9:70,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,DHW365-BLR5QI6M,Desktop,,Microsoft Windows 10 Enterprise 10.0.19045,0000-0016-4732-8827-5088-9174-87,DHW365-BLR5QI6M,2025-02-21T18:36:10Z,00:22:48:7D:CD:F4,"AMD EPYC 7763 64-Core Processor                "
Online,Dameron Hospital,DHW365-BLR5S79D,Desktop,,Microsoft Windows 10 Enterprise 10.0.19045,0000-0010-1539-8849-7767-6801-99,DHW365-BLR5S79D,2025-03-26T23:54:55Z,00:22:48:7A:50:50,"AMD EPYC 7763 64-Core Processor                "
Online,Dameron Hospital,DHW365-BLR7BT9B,Desktop,,Microsoft Windows 10 Enterprise 10.0.19045,0000-0013-1089-2174-1617-4145-14,DHW365-BLR7BT9B,2025-03-26T23:54:55Z,00:0D:3A:FB:D3:7B,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,DHW365-BLR87RDW,Desktop,,Microsoft Windows 10 Enterprise 10.0.19045,0000-0012-9411-9466-9059-6884-74,DHW365-BLR87RDW,2025-03-19T18:12:05Z,00:22:48:BB:39:51,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,DHW365-BLRBVJIL,Desktop,,Microsoft Windows 10 Enterprise 10.0.19045,0000-0016-3023-0003-5741-4678-66,DHW365-BLRBVJIL,2025-02-28T00:42:39Z,00:22:48:C2:09:89,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,DHW365-BLRBXW18,Desktop,,Microsoft Windows 10 Enterprise 10.0.19045,0000-0013-4221-2334-0911-4276-81,DHW365-BLRBXW18,2025-03-26T21:10:50Z,00:22:48:BD:D3:E9,"AMD EPYC 7763 64-Core Processor                "
Online,Dameron Hospital,DHW365-BLRDZBYR,Desktop,,Microsoft Windows 10 Enterprise 10.0.19045,0000-0014-7608-2919-6353-5536-45,DHW365-BLRDZBYR,2025-03-26T23:54:55Z,00:22:48:BB:3C:A1,"AMD EPYC 7763 64-Core Processor                "
Online,Dameron Hospital,DHW365-BLRE406W,Desktop,,Microsoft Windows 10 Enterprise 10.0.19045,0000-0002-4685-4269-3209-4895-79,DHW365-BLRE406W,2025-03-26T23:54:55Z,00:22:48:7A:3A:88,"AMD EPYC 7763 64-Core Processor                "
Online,Dameron Hospital,DHW365-BLRE8Y6L,Desktop,,Microsoft Windows 10 Enterprise 10.0.19045,0000-0017-8846-8699-1114-5206-76,DHW365-BLRE8Y6L,2025-03-26T23:54:55Z,00:22:48:77:01:0E,"AMD EPYC 7763 64-Core Processor                "
Online,Dameron Hospital,DHW365-BLRF9LRB,Desktop,,Microsoft Windows 10 Enterprise 10.0.19045,0000-0017-0223-9544-0196-8979-16,DHW365-BLRF9LRB,2025-03-26T23:54:55Z,00:22:48:7B:B5:B2,"AMD EPYC 7763 64-Core Processor                "
Online,Dameron Hospital,DHW365-BLRFW0BK,Desktop,,Microsoft Windows 10 Enterprise 10.0.19045,0000-0015-5231-8366-9784-9562-03,DHW365-BLRFW0BK,2025-03-26T23:54:55Z,00:22:48:BE:39:2C,"AMD EPYC 7763 64-Core Processor                "
Online,Dameron Hospital,DHW365-BLRGJD7X,Desktop,,Microsoft Windows 10 Enterprise 10.0.19045,0000-0008-8255-4148-0050-8719-24,DHW365-BLRGJD7X,2025-03-26T23:54:55Z,00:22:48:B9:A0:38,"AMD EPYC 7763 64-Core Processor                "
Online,Dameron Hospital,DHW365-BLRGPNTB,Desktop,,Microsoft Windows 10 Enterprise 10.0.19045,0000-0017-4355-2326-5507-1174-32,DHW365-BLRGPNTB,2025-03-26T23:54:55Z,00:22:48:77:46:77,"AMD EPYC 7763 64-Core Processor                "
Offline,Dameron Hospital,DHW365-BLRHZF3F,Desktop,,Microsoft Windows 10 Enterprise 10.0.19045,0000-0001-8766-0165-2700-1394-90,DHW365-BLRHZF3F,2025-03-26T21:05:13Z,00:22:48:BA:09:D5,"AMD EPYC 7763 64-Core Processor                "
