Status,Site,Hostname,Type,Last User,OS,Serial Number,Description,Last Seen,MAC Address(es),Device CPU
Online,Orchard Hospital,OH1528,Desktop,BGMH\mholt,Microsoft Windows 10 Business 10.0.19045,C8C0R53,OH1528,2025-03-26T23:58:48Z,"A4:BB:6D:B7:F0:7D, 00:09:0F:FE:00:01, 00:09:0F:AA:00:01",Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz
Online,Orchard Hospital,OH1530,Desktop,BGMH\hwells,Microsoft Windows 11 Business 10.0.26100,C81YQ53,OH1530,2025-03-26T23:58:48Z,A4:BB:6D:B7:C4:B1,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz
Online,Orchard Hospital,OH1531,Desktop,BGMH\jbunn,Microsoft Windows 11 Business 10.0.26100,C88XQ53,OH1531,2025-03-26T23:58:48Z,"A4:BB:6D:B7:BC:0D, 00:09:0F:FE:00:01, 00:09:0F:AA:00:01",Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz
Offline,Orchard Hospital,OH1532,Desktop,BGMH\eerwin,Microsoft Windows 10 Business 10.0.19045,C8HVQ53,OH1532,2025-03-17T09:30:10Z,A4:BB:6D:B8:28:7B,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz
Online,Orchard Hospital,OH1533,Desktop,BGMH\aespinoza,Microsoft Windows 10 Business 10.0.19045,C871R53,OH1533,2025-03-26T23:58:48Z,A4:BB:6D:B7:A7:98,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz
Online,Orchard Hospital,OH1539,Desktop,BGMH\tcarter,Microsoft Windows 10 Business 10.0.19045,B5RLK93,OH1539,2025-03-26T23:58:48Z,"64:6C:80:2C:4D:4F, A4:BB:6D:63:A4:05, 64:6C:80:2C:4D:50",Intel(R) Core(TM) i7-10700F CPU @ 2.90GHz
Online,Orchard Hospital,OH1540,Desktop,BGMH\nsmith,Microsoft Windows 10 Business 10.0.19045,MXL6271JDJ,OH1540,2025-03-26T23:58:48Z,48:0F:CF:BC:1D:19,Intel(R) Core(TM) i7-4790S CPU @ 3.20GHz
Offline,Orchard Hospital,OH1541,Desktop,BGMH\gvillegas,Microsoft Windows 10 Business 10.0.19045,H1DPK93,OH1541,2025-02-23T06:59:14Z,"70:B5:E8:3D:22:0D, 40:1C:83:D4:6F:B6, 40:1C:83:D4:6F:BA",Intel(R) Core(TM) i5-10400 CPU @ 2.90GHz
Offline,Orchard Hospital,OH1545,Desktop,BGMH\awalsh,Microsoft Windows 10 Business 10.0.19045,B35CMB3,OH1545,2025-03-09T16:16:10Z,70:B5:E8:54:13:E9,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz
Online,Orchard Hospital,OH1545,Desktop,BGMH\racosta,Microsoft Windows 11 Business 10.0.26100,B35CMB3,OH1545,2025-03-26T23:58:48Z,70:B5:E8:54:13:E9,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz
Online,Orchard Hospital,OH1546,Desktop,BGMH\cakpati,Microsoft Windows 10 Business 10.0.19045,145CMB3,OH1546,2025-03-26T23:58:48Z,"00:09:0F:FE:00:01, 00:09:0F:AA:00:01, 70:B5:E8:53:EE:82",Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz
Online,Orchard Hospital,OH1547,Desktop,BGMH\kweber,Microsoft Windows 10 Business 10.0.19045,F35CMB3,OH1547,2025-03-26T23:58:48Z,70:B5:E8:54:13:EB,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz
Online,Orchard Hospital,OH1548,Desktop,BGMH\kweber,Microsoft Windows 10 Business 10.0.19045,425CMB3,OH1548,2025-03-26T23:58:48Z,70:B5:E8:54:15:40,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz
Online,Orchard Hospital,OH1550,Desktop,BGMH\kwood,Microsoft Windows 11 Business 10.0.26100,4SC2MH3,OH1550,2025-03-26T23:58:48Z,"30:D0:42:F0:1C:47, 5C:E4:2A:00:B4:5F, 5C:E4:2A:00:B4:63",11th Gen Intel(R) Core(TM) i5-11500T @ 1.50GHz
Online,Orchard Hospital,OH1551,Desktop,BGMH\mjimenez,Microsoft Windows 10 Business 10.0.19045,4RS1MH3,OH1551,2025-03-26T23:58:48Z,"30:D0:42:EF:BA:5B, 5C:E4:2A:00:F0:E6",11th Gen Intel(R) Core(TM) i5-11500T @ 1.50GHz
Online,Orchard Hospital,OH1552,Desktop,BGMH\gvillegas,Microsoft Windows 10 Business 10.0.19045,4RQ6MH3,OH1552,2025-03-26T23:58:48Z,"30:D0:42:E6:C5:2E, 5C:E4:2A:12:88:A6, 5C:E4:2A:12:88:AA",11th Gen Intel(R) Core(TM) i5-11500T @ 1.50GHz
Offline,Orchard Hospital,OH1554,Desktop,BGMH\sseid,Microsoft Windows 10 Business 10.0.19045,662JQJ3,OH1554,2025-03-26T23:50:00Z,"B0:4F:13:05:F0:1A, F4:7B:09:B3:23:15, F4:7B:09:B3:23:19",Intel(R) Core(TM) i3-10105 CPU @ 3.70GHz
Online,Orchard Hospital,OH1555,Desktop,BGMH\Tharris,Microsoft Windows 11 Business 10.0.22631,JX2SMH3,OH1555,2025-03-26T23:58:48Z,"30:D0:42:FB:3E:35, 70:A6:CC:8C:0F:73, 70:A6:CC:8C:0F:77",11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz
Offline,Orchard Hospital,OH1556,Desktop,BGMH\tgeorge,Microsoft Windows 11 Business 10.0.26100,HW2SMH3,OH1556,2025-03-26T23:43:05Z,"70:A6:CC:8F:DF:13, 30:D0:42:FA:EA:10, 70:A6:CC:8F:DF:17",11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz
Online,Orchard Hospital,OH1560,Desktop,BGMH\ttorres,Microsoft Windows 10 Business 10.0.19045,6WT10D3,OH1560,2025-03-26T23:58:48Z,A4:BB:6D:7A:CA:EB,Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz
Online,Orchard Hospital,OH1561,Desktop,BGMH\asilva,Microsoft Windows 10 Business 10.0.19045,6WTSJD3,OH1561,2025-03-26T23:58:48Z,A4:BB:6D:79:B2:A3,Intel(R) Core(TM) i7-10700 CPU @ 2.90GHz
Online,Orchard Hospital,OH1562,Desktop,BGMH\kstorne,Microsoft Windows 10 Business 10.0.19045,6PJX5C3,OH1562,2025-03-26T23:58:48Z,B0:7B:25:03:A4:D6,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz
Offline,Orchard Hospital,OH1563,Laptop,BGMH\bkanemoto,Microsoft Windows 10 Enterprise 10.0.19045,C188222234-R,OH1563,2025-03-25T08:58:19Z,"30:24:32:C8:9A:D8, 44:8E:12:04:76:83, 30:24:32:C8:9A:DC, 00:09:0F:FE:00:01, 00:09:0F:AA:00:01",Intel(R) Core(TM) i5-6200U CPU @ 2.30GHz
Offline,Orchard Hospital,OH1564,Laptop,BGMH\mmills,Microsoft Windows 10 Pro 10.0.19045,3ZDRHK3,OH1564,2025-03-26T23:19:10Z,"A8:93:4A:14:9D:DB, 00:09:0F:FE:00:01, A8:93:4A:14:9D:DC, 00:09:0F:AA:00:01",Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz
Offline,Orchard Hospital,OH1600,Desktop,BGMH\jbunn,Microsoft Windows 10 Business 10.0.19045,GB1XCY1,OH1600,2025-03-06T18:09:22Z,C8:1F:66:1A:B4:AA,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
