Status,Site,Hostname,Type,Last User,OS,Serial Number,Description,Last Seen,MAC Address(es),Device CPU
Online,"KentField Sanfrancisco ",KFHDT096,Desktop,KFH\TLHADON,Microsoft Windows 11 Pro 10.0.26100,9SNQRY3,KFHDT096,2025-03-26T23:57:45Z,"6C:3C:8C:56:F5:D3, 48:AD:9A:59:65:4B, 48:AD:9A:59:65:4F, 4A:AD:9A:59:65:4B",13th Gen Intel(R) Core(TM) i5-13500T
Online,"KentField Sanfrancisco ",KFHDT097,Desktop,KFH\ama,Microsoft Windows 11 Pro 10.0.26100,3MMB8Y3,KFHDT097,2025-03-26T23:57:45Z,"6C:3C:8C:4F:D5:7A, 48:AD:9A:59:F6:C3, 48:AD:9A:59:F6:C7",13th Gen Intel(R) Core(TM) i5-13500T
Online,"KentField Sanfrancisco ",KFHDT100,Desktop,KFH\skarki,Microsoft Windows 11 Pro 10.0.26100,CGMKRY3,KFHDT100,2025-03-26T23:57:45Z,"6C:3C:8C:52:0C:9A, 48:AD:9A:40:5E:5C, 48:AD:9A:40:5E:60",13th Gen Intel(R) Core(TM) i5-13500T
Offline,"KentField Sanfrancisco ",KFHDT104,Desktop,KFH\aadrineda,Microsoft Windows 11 Pro 10.0.26100,35YKRY3,KFHDT104,2025-03-05T17:36:05Z,"6C:3C:8C:57:39:96, 48:AD:9A:4B:AD:57, 48:AD:9A:4B:AD:5B",13th Gen Intel(R) Core(TM) i5-13500T
Online,"KentField Sanfrancisco ",KFHDT105,Desktop,KFH\SKARKI,Microsoft Windows 11 Pro 10.0.22631,60VKRY3,KFHDT105,2025-03-26T23:57:45Z,"6C:3C:8C:57:DC:6E, 48:AD:9A:41:32:78, 48:AD:9A:41:32:7C",13th Gen Intel(R) Core(TM) i5-13500T
Online,"KentField Sanfrancisco ",KFHDT106,Desktop,KFH\ydatt,Microsoft Windows 11 Pro 10.0.26100,C0YKRY3,KFHDT106,2025-03-26T23:57:45Z,"6C:3C:8C:58:00:74, 48:AD:9A:41:32:9B, 48:AD:9A:41:32:9F",13th Gen Intel(R) Core(TM) i5-13500T
Offline,"KentField Sanfrancisco ",KFHDT111,Desktop,KFH\erocas,Microsoft Windows 11 Pro 10.0.22631,6KC68Y3,KFHDT111,2025-03-07T17:28:51Z,"C4:5A:B1:EA:26:AC, 48:AD:9A:19:A4:15, 48:AD:9A:19:A4:19",13th Gen Intel(R) Core(TM) i5-13500T
Offline,"KentField Sanfrancisco ",KFHDT112,Desktop,KFH\sallison,Microsoft Windows 11 Pro 10.0.22631,11YKRY3,KFHDT112,2025-02-11T12:45:59Z,"6C:3C:8C:5A:CD:B0, 48:AD:9A:41:82:3C, 48:AD:9A:41:82:40",13th Gen Intel(R) Core(TM) i5-13500T
Online,"KentField Sanfrancisco ",KFHDT113,Desktop,KFH\ftsamchoe,Microsoft Windows 11 Pro 10.0.22631,JYXKRY3,KFHDT113,2025-03-26T23:57:45Z,"6C:3C:8C:57:39:81, 48:AD:9A:4B:AE:B5, 48:AD:9A:4B:AE:B9",13th Gen Intel(R) Core(TM) i5-13500T
Online,"KentField Sanfrancisco ",KFHDT114,Desktop,KFH\ythwe,Microsoft Windows 11 Pro 10.0.26100,H0VKRY3,KFHDT114,2025-03-26T23:57:45Z,"6C:3C:8C:57:39:97, 48:AD:9A:4B:AD:52, 48:AD:9A:4B:AD:56",13th Gen Intel(R) Core(TM) i5-13500T
