Status,Site,Hostname,Type,Last User,OS,Serial Number,Description,Last Seen,MAC Address(es),Device CPU
Online,Sonoma,SSHDT59,Desktop,SWMC\nmongcopa,Microsoft Windows 10 Pro 10.0.19045,MXL5301PCW,SSH-LAB2,2025-03-26T23:59:39Z,64:51:06:5D:46:6D,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz
Online,Sonoma,SSHDT61,Desktop,SWMC\mhaynes,Microsoft Windows 11 Pro 10.0.22000,2UA534120D,SSHDT61,2025-03-26T23:59:39Z,EC:B1:D7:53:CD:6D,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz
Online,Sonoma,SSHDT62,Desktop,SWMC\tvalencia,Microsoft Windows 11 Pro 10.0.22000,MXL5301HJT,SSH-MED-REC2,2025-03-26T23:59:39Z,8C:DC:D4:32:C1:B6,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz
Online,Sonoma,SSHDT63,Desktop,SWMC\eochoachavez,Microsoft Windows 11 Pro 10.0.22000,MXL04520SK,SSHDT63,2025-03-26T23:59:39Z,00:23:24:1A:3D:5E,Intel(R) Core(TM)2 Duo CPU     E8400  @ 3.00GHz
Online,Sonoma,SSHDT64,Desktop,SWMC\eandrade,Microsoft Windows 11 Pro 10.0.22000,MXL2392BYF,SSHDT64,2025-03-26T23:59:39Z,24:BE:05:0C:77:AB,Intel(R) Core(TM) i5-2400 CPU @ 3.10GHz
Online,Sonoma,SSHDT65,Desktop,SWMC\smccleary,Microsoft Windows 11 Pro 10.0.22000,MXL3331DQ8,SSHDT65,2025-03-26T23:59:39Z,74:46:A0:AC:8A:59,Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
Offline,Sonoma,SSHDT66,Desktop,SWMC\mmahal,Microsoft Windows 11 Pro 10.0.22000,2UA534121G,SSHDT66,2025-01-27T19:15:28Z,EC:B1:D7:4F:61:E3,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz
Online,Sonoma,SSHDT67,Desktop,SWMC\mhenderson,Microsoft Windows 11 Pro 10.0.22000,44P4W02,SSHDT67,2025-03-26T23:59:39Z,F8:B1:56:E1:26:A3,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz
Online,Sonoma,SSHDT68,Desktop,SWMC\mnyawira,Microsoft Windows 11 Pro 10.0.22000,7PXNDX1,SSHDT68,2025-03-26T23:59:39Z,B8:CA:3A:7A:A2:4E,Intel(R) Core(TM) i7-3770 CPU @ 3.40GHz
Online,Sonoma,SSHDT69,Desktop,SWMC\evazquez,Microsoft Windows 10 Pro 10.0.19045,MXL5301G63,FACILITIES2,2025-03-26T23:59:39Z,8C:DC:D4:32:05:33,Intel(R) Core(TM) i5-4590 CPU @ 3.30GHz
Online,Sonoma,SSHDT70,Desktop,SWMC\lmagnolia,Microsoft Windows 11 Pro 10.0.26100,Default string,SSHDT70,2025-03-26T23:59:39Z,"70:1A:B8:DF:C0:B4, 70:1A:B8:DF:C0:B8, 7C:83:34:B6:D5:4F",Intel(R) Core(TM) i5-8279U CPU @ 2.40GHz
